"word","phonetic","meaning_zh","example","tags"
"eighth","etθ","第八","in the eighth century","CET4luan_2"
"eighty","ˈeti","八十，八十个","The band was incredibly successful in the eighties.","CET4luan_2"
"either","'iðɚ","（两者）任何一个","You can park on either side of the street.","CET4luan_2"
"elaborate","ɪ'læbəret","复杂的；精心制作的","pure silks embroidered with elaborate patterns","CET4luan_2"
"elaborately","ɪ'læbərɪtli","复杂地，精心设计地","He elaborately devised a new computer.","CET6_1"
"elastic","ɪ'læstɪk","松紧带","a piece of elastic","CET4luan_2"
"elbow","'ɛlbo","肘，肘部；弯管","He slipped and fell, badly bruising an elbow.","CET4luan_2"
"elder","'ɛldɚ","年龄较大的","Sarah is the elder of the two.","CET4luan_2"
"elect","ɪ'lɛkt","选举，推选；选择","the country’s first democratically elected government","CET4luan_2"
"election","ɪ'lɛkʃən","选举；当选","The Labour Party won the 2001 election by a huge majority.","CET4luan_2,CET6_1"
"electric","ɪ'lɛktrɪk","电的，电动的","an electric blanket","CET4luan_2"
"electrical","ɪ'lɛktrɪkl","电的，电气科学的","The fire was caused by an electrical fault.","CET4luan_2"
"electricity","ɪ'lɛk'trɪsəti","电，电学；电流","The farm was very isolated, but it had electricity.","CET4luan_2"
"electron","ɪ'lɛktrɑn","电子","Most things are balanced - with equal numbers of electrons and protons.","CET4luan_2"
"electronic","ɪˌlekˈtrɑːnɪk","电子的","electronic games","CET4luan_2"
"electronics","ɪ,lɛk'trɑnɪks","电子学","an electronics engineer","CET4luan_2"
"elegant","'ɛləgənt","高雅的，雅致的","a tall, elegant young woman","CET6_1"
"element","'ɛləmənt","成分；要素；元素","Business and management elements are built into the course.","CET4luan_2"
"elementary",",ɛlɪ'mɛntri","基本的；初级的","the elementary principles of justice and democracy","CET4luan_2"
"elephant","'ɛlɪfənt","象","A trunk distinguishes the elephant.","CET4luan_2"
"elevate","'ɛlɪvet","提升，举起；使高兴","Language has elevated humans above the other animals.","CET6_1"
"elevator","'ɛlɪvetɚ","电梯；升降机","We’ll have to take the elevator.","CET4luan_2"
"eleven","ɪ'lɛvn","十一，十一个","She was sent to jail for eleven months.","CET4luan_2"
"eleventh","ɪ'lɛvnθ","第十一（个）","in the eleventh century","CET4luan_2"
"eligible","'ɛlɪdʒəbl","适合的；胜任的","Stephen was regarded as an eligible bachelor.","CET6_1"
"eliminate","ɪ'lɪmɪnet","消灭，消除；排除","a ruthless dictator who eliminated all his rivals","CET4luan_2,CET6_1"
"elimination","ɪ,lɪmə'neʃən","排除，消除；消灭","The police have eliminated two suspects from their investigation.","CET4luan_2,CET6_1"
"elite","ɪˈliːt","精英","a struggle for power within the ruling elite ","CET6_1"
"eloquent","'ɛləkwənt","口才好的，雄辩的","an eloquent appeal for support","CET6_1"
"else","ɛls","其它，另外","There’s something else I’d like to talk about as well.","CET4luan_2"
"elsewhere","els'weə; 'elsweə","在别处，向别处","She is becoming famous in Australia and elsewhere.","CET4luan_2"
"embarrass","ɪm'bærəs","使窘迫，使为难","He didn’t want to embarrass her by asking questions.","CET4luan_2"
"embody","ɪm'bɑdi","体现","She embodies everything I admire in a teacher.","CET6_1"
"embrace","ɪm'bres","拥抱；包括","Jack warmly embraced his son.","CET4luan_2,CET6_1"
"emerge","ɪ'mɝdʒ","出现，涌现；冒出","The flowers emerge in the spring.","CET4luan_2,CET6_1"
"emergency","ɪ'mɝdʒənsi","紧急情况，突然事件","Lifeguards are trained to deal with emergencies.","CET4luan_2"
"emit","ɪ'mɪt","散发；发射；发表","The kettle emitted a shrill whistle.","CET4luan_2"
"emotion","ɪ'moʃən","情感，感情；激动","Her voice was full of emotion.","CET4luan_2"
"emotional","ɪ'moʃənl","感情的，情绪的","She provided emotional support at a very distressing time for me.","CET4luan_2"
"emperor","'ɛmpərɚ","皇帝","They  bowed before the emperor as he entered the court.","CET4luan_2"
"emphasis","'ɛmfəsɪs","强调，重点，重要性","a change of emphasis in government policy","CET4luan_2"
"emphasize","'ɛmfəsaɪz","强调，着重","The report emphasizes the importance of improving safety standards.","CET4luan_2,CET6_1"
"empire","'ɛmpaɪr","帝国","the Roman empire","CET4luan_2"
"employ","ɪm'plɔɪ","雇用；用；使忙于","The factory employs over 2,000 people.","CET4luan_2"
"employee","ɪm'plɔɪi","受雇者，雇员，雇工","a government employee","CET4luan_2"
"employer","ɪm'plɔɪɚ","雇佣者，雇主","The shoe factory is the largest employer in this area.","CET4luan_2"
"employment","ɪm'plɔɪmənt","工作；职业；雇用；使用","She was offered employment in the sales office.","CET4luan_2"
"empty","ˈɛmptɪ","空的；空洞的","an empty box","CET4luan_2"
"enable","ɪ'nebl","使能够，使可能","The new test should enable doctors to detect the disease early.","CET4luan_2"
"enclose","ɪn'kloz","附上；围住，圈起","Please enclose a cheque with your order.","CET4luan_2"
"encounter","ɪn'kaʊntɚ","遭遇，遇到","The doctor had encountered several similar cases in the past.","CET4luan_2,CET6_1"
"encourage","ɪn'kɝrɪdʒ","鼓励，支持；助长","I want to thank everyone who has encouraged and supported me.","CET4luan_2,CET6_1"
"end","ɛnd","末端；目标","He wore spectacles perched on the very end of his nose.","CET4luan_2"
"endanger","ɪn'dendʒɚ","使……危险","Smoking during pregnancy endangers your baby’s life.","CET6_1"
"ending","'ɛndɪŋ","结尾，结局","a story with a happy ending","CET4luan_2"
"endless","'ɛndləs","无止境的","an endless stream of visitors","CET4luan_2,CET6_1"
"endorsement","ɪn'dɔrsmənt","支持","There should be no suggestion of endorsement of the product or the company by WHO.","CET6_1"
"endure","ɪn'dʊr","忍受；容忍","It seemed impossible that anyone could endure such pain.","CET4luan_2,CET6_1"
"enemy","'ɛnəmi","敌人；仇敌；敌兵","She’s a dangerous enemy to have.","CET4luan_2"
"energy","'ɛnɚdʒi","活力；精力；能；能量","Where do those kids get their energy from?","CET4luan_2"
"enforce","ɪn'fɔrs","实施，执行；强制","Parking restrictions will be strictly enforced.","CET4luan_2,CET6_1"
"engage","ɪn'ɡedʒ","使从事于；聘用","I have never engaged in drug trafficking.","CET4luan_2,CET6_1"
"engine","'ɛndʒɪn","发动机，引擎；机车","Is the engine running smoothly?","CET4luan_2"
"engineer",",ɛndʒɪ'nɪr","工程师，技师","He trained as a civil engineer (= one who designs and builds roads, bridges etc ).","CET4luan_2"
"engineering","'ɛndʒə'nɪrɪŋ","工程；工程学","The bridge is a triumph of modern engineering.","CET4luan_2"
"England","'iŋɡlənd","英格兰；英国",,"CET4luan_2"
"English","ɪŋɡlɪʃ","英语","Do you speak English?","CET4luan_2"
"Englishman","'iŋɡliʃmən","英国男子","He was the only Englishman present.","CET4luan_2"
"enjoy","ɪn'dʒɔɪ","享受；欣赏，喜爱","We thoroughly enjoyed our time in New York.","CET4luan_2"
"enlarge","ɪn'lɑrdʒ","扩大，扩展；放大","There are plans to enlarge the recreation area.","CET4luan_2"
"enormous","ɪ'nɔrməs","巨大的，庞大的","an enormous bunch of flowers","CET4luan_2,CET6_1"
"enough","ɪ'nʌf","足够的","Is there enough room for me?","CET4luan_2"
"enrich","ɪn'rɪtʃ","丰富，使富裕","Add fertilizer to enrich the soil.","CET6_1"
"enrollment","ɪn'rolmənt","入学人数","Class enrollment, where each student has all of the course schedule selections, each student having his own bucket in the CGTT.","CET6_1"
"ensure","ɪn'ʃʊr","保证；保护；赋予","facilities to ensure the safety of cyclists","CET4luan_2"
"entail","ɪn'tel","使需要，使必须","A new computer system entails a lot of re-training.","CET6_1"
"enter","'ɛntɚ","走进，进入；参加","Knock before you enter.","CET4luan_2"
"entertain",",ɛntɚ'ten","使欢乐；招待","A museum should aim to entertain as well as educate.","CET4luan_2"
"enthusiasm","ɪn'θuzɪæzəm","热情，热心，热忱","Gillian and Darren greeted the speakers with great enthusiasm.","CET4luan_2"
"enthusiastic","ɪn,θuzɪ'æstɪk","热情的，热心的","an enthusiastic supporter of reform","CET4luan_2,CET6_1"
"entire","ɪn'taɪɚ","全部的，整个的","It was the worst day in my entire life.","CET4luan_2"
"entitle","ɪn'taɪtl","给…权利（或资格）","Full-time employees are entitled to receive health insurance.","CET4luan_2,CET6_1"
"entrance","'ɛntrəns","入口，门口；进入","the station entrance","CET4luan_2"
"entrepreneur","ˌɑntrəprəˈnɝ​","企业家","“You have to be an optimist to be an inventor or entrepreneur, ” he concludes.","CET6_1"
"entrepreneurship",",ɑntrəprə'nɝʃɪp","企业管理","They, like other necessity entrepreneurs, may have resorted to entrepreneurship due to a lack of better options.","CET6_1"
"entry","'ɛntri","入口处；登记；进入","You can leave your umbrella in the entry.","CET4luan_2"
"envelope","'envələʊp; 'ɒn-","信封；封套；封皮","envelopes and stamps","CET4luan_2"
"enviable","'ɛnvɪəbl","值得羡慕的","Now he was in the enviable position of not having to work for a living.","CET6_1"
"environment","ɪn'vaɪrənmənt","环境，外界","a pleasant working/learning environment","CET4luan_2"
"envy","'ɛnvi","妒忌；羡慕","I really envy you and Ian, you seem so happy together.","CET4luan_2"
"epidemic",",ɛpɪ'dɛmɪk","流行病","Over 500 people died during last year’s flu epidemic.","CET6_1"
"equal","'ikwəl","相等的；平等的","Both candidates received an equal number of votes.","CET4luan_2"
"equality","ɪ'kwɑləti","等同，平等；相等","racial/social/sexual equality","CET4luan_2"
"equation","ɪ'kweʒn","方程（式）；等式","In the equation 2x + 1 = 7, what is x?","CET4luan_2"
"equip","ɪ'kwɪp","装备，配备","They try to equip their vehicles with gadgets to deal with every possible contingency.","CET4luan_2"
"equipment","ɪ'kwɪpmənt","装备，设备；配备","a shop selling camping equipment","CET4luan_2"
"equivalent","ɪ'kwɪvələnt","相等的；等量的","I had no dollars, but offered him an equivalent amount of sterling.","CET4luan_2"
"era","'ɪrə","时代，年代；纪元","His death marked the end of an era.","CET4luan_2"
"eradicate","ɪ'rædɪket","根除","an attempt to eradicate inflation","CET6_1"
"erect","ɪ'rɛkt","建造；使竖立","an imposing town hall, erected in 1892","CET4luan_2,CET6_1"
"erroneous","ɪ'ronɪəs","错误的","His economic predictions are based on some erroneous assumptions.","CET6_1"
"error","'ɛrɚ","错误，谬误；差错","There must be an error in our calculations.","CET4luan_2"
"erupt","ɪ'rʌpt","喷出, 爆发","Violence erupted after police shot a student during the demonstration.","CET6_1"
"escape","ɪˈskep","逃跑；逸出","He broke down the locked door and escaped.","CET4luan_2"
"especially","ɪ'spɛʃəli","尤其；特别，格外","I never liked long walks, especially in winter.","CET4luan_2"
"essay","'ɛse","短文；散文，小品文","an essay on Bernard Shaw","CET4luan_2"
"essential","ɪ'sɛnʃl","必要的；本质的","Window locks are fairly cheap and absolutely essential.","CET4luan_2,CET6_1"
"establish","ɪˈstæblɪʃ","建立，设立；确立","The city of Boerne was established by German settlers in the 1840s.","CET4luan_2"
"establishment","ɪ'stæblɪʃmənt","建立，设立，确立","The establishment of the regional government in 1980 did not end terrorism.","CET4luan_2"
"esteem","ɪ'stim","尊重","Peden was greatly esteemed by the people of Ayrshire.","CET6_1"
"estimate","'ɛstə,met","估计，评价","Try to estimate how many steps it will take to get to a close object.","CET4luan_2"
"ethnic","'ɛθnɪk","种族的","The school teaches pupils from different ethnic groups.","CET6_1"
"Europe","'jʊrəp","欧洲","eastern Europe","CET4luan_2"
"European","'jʊrə'piən","欧洲的","European languages","CET4luan_2"
"evaluate","ɪ'væljʊ'et","评价，估…的价","You should be able to evaluate your own work.","CET4luan_2,CET6_1"
"evaluation","ɪ,væljʊ'eʃən","评价","We need to carry out a proper evaluation of the new system.","CET6_1"
"evaporate","ɪ'væpəret","使蒸发","Most of the water had evaporated.","CET4luan_2"
"eve","iːv","前夜，前夕","We’re arriving on Christmas Eve.","CET4luan_2"
"even","'ivən","甚至；甚至更，还","Most companies have suffered a drop in their profits, even very large companies.","CET4luan_2"
"evening","'ivnɪŋ","傍晚，黄昏，晚上","I do most of my studying in the evening.","CET4luan_2"
"event","ɪ'vɛnt","事件，大事；事变","one of the most important events in the history of mankind","CET4luan_2"
"eventually","ɪ'vɛntʃuəli","终于；最后","He eventually escaped and made his way back to England.","CET4luan_2"
"ever","'ɛvɚ","在任何时候；曾经","Nothing ever seems to upset him.","CET4luan_2"
"every","'ɛvri","每一的；每隔…的","His every utterance will be scrutinized.","CET4luan_2"
"everybody","'ɛvrɪbɑdi","每人，人人","Everybody knows Tom.","CET4luan_2"
"everyday","'ɛvrɪde","每天的，日常的","the problems of everyday life","CET4luan_2"
"everyone","'ɛvrɪwʌn","每人，人人","If everyone is ready, I’ll begin.","CET4luan_2"
"everything","'ɛvrɪ'θɪŋ","每件事，事事","Everything was covered in a thick layer of dust.","CET4luan_2"
"everywhere","'ɛvrɪwɛr","到处，处处","I’ve looked everywhere but I can’t find the map.","CET4luan_2"
"evidence","'ɛvɪdəns","根据；证据，证人","We found further scientific evidence for this theory.","CET4luan_2"
"evident","'ɛvɪdənt","明显的，明白的","Bob ate his lunch with evident enjoyment.","CET4luan_2"
"evil","'ivl","祸害；邪恶","She wanted to protect her children from the evils of the outside world.","CET4luan_2"
"evolution","ˌɛvəˈluʃən; (occas.) ˌ ivəˈluʃən","进化，演化；发展","the theory of evolution","CET4luan_2,CET6_1"
"evolve","ɪ'vɑlv","使进化；使发展","The bright plumage of many male birds was thought to have evolved to attract females.","CET4luan_2,CET6_1"
